Tumor_Sample_Barcode,Signature_1,Signature_2,Signature_3,Signature_4,Signature_5
TCGA-05-4244-01A-01D-1105-08,0.000929294494038323,0.0009274744246887074,0.8455711163430603,0.0009326771149822582,0.1516394376232304
TCGA-05-4249-01A-01D-1105-08,0.02575548652323166,0.0006272777131698797,0.8112647393128554,0.04889491968048226,0.11345757677026076
TCGA-05-4250-01A-01D-1105-08,0.0005392458300120508,0.023979307696829454,0.7691113122781355,0.09200748948704777,0.11436264470797525
TCGA-05-4384-01A-01D-1753-08,0.0014995990882038224,0.05288460977992564,0.7514237466555754,0.03159933321092894,0.16259271126536615
TCGA-05-4389-01A-01D-1265-08,0.000858628714059018,0.0008568647436329057,0.38338046415726545,0.30132134784080655,0.31358269454423604
TCGA-05-4390-01A-02D-1753-08,0.00035924836201100765,0.00035908285489971514,0.9985629744706791,0.00035772148968786044,0.00036097282272220946
TCGA-05-4395-01A-01D-1265-08,0.0007302200066107205,0.0838052512246934,0.5209237478479994,0.30749575234099585,0.08704502857970063
TCGA-05-4397-01A-01D-1265-08,0.00023467200182626142,0.016994445589822386,0.7358239186570461,0.153935131756899,0.09301183199440617
TCGA-05-4398-01A-01D-1265-08,0.007890643375869267,0.0002777903315061693,0.8211524751969528,0.0796815330607485,0.09099755803492324
TCGA-05-4402-01A-01D-1265-08,0.0016633844944597138,0.012887073283927613,0.0016572869485910575,0.7024723508143036,0.28131990445871813
TCGA-05-4403-01A-01D-1265-08,0.0014923371601965997,0.06353369942830447,0.5074110120416463,0.022067521535719177,0.40549542983413356
TCGA-05-4405-01A-21D-1855-08,0.0005326014265451028,0.0005340553850575881,0.8516154817653934,0.0005335011288772735,0.14678436029412664
TCGA-05-4410-01A-21D-1855-08,0.00018205456824509992,0.00018186687552601555,0.9124434488144101,0.08633753072447953,0.0008550990173390478
TCGA-05-4415-01A-22D-1855-08,0.0009807106220037244,0.0009807147850307823,0.9530567537598575,0.0009765893250999473,0.04400523150800794
TCGA-05-4418-01A-01D-1265-08,0.0007051516700482696,0.04624925839491661,0.7977308936044492,0.0007090566175485199,0.1546056397130375
TCGA-05-4420-01A-01D-1265-08,0.0006811095589227925,0.049336532409481576,0.9130520084036461,0.0006859121059776944,0.036244437521971984
TCGA-05-4422-01A-01D-1265-08,0.0044717781921087465,0.13479957057837708,0.4600740861979934,0.30144485930840614,0.09920970572311469
TCGA-05-4424-01A-22D-1855-08,0.00028939518111270477,0.0002885033095220945,0.8852289976327025,0.09057932142860425,0.023613782448058607
TCGA-05-4425-01A-01D-1753-08,0.005031390717883839,0.043977751372408426,0.07549142976186557,0.05513105495237486,0.8203683731954673
TCGA-05-4426-01A-01D-1265-08,0.004464823135794116,0.004486319272710481,0.22325829972149194,0.12654865427784615,0.6412419035921574
TCGA-05-4427-01A-21D-1855-08,0.00019676787351269591,0.00019716762978872927,0.8824586258892958,0.030282303967917673,0.0868651346394851
TCGA-05-4430-01A-02D-1265-08,0.0007497932062702567,0.0007484224376589352,0.9398137449342749,0.010235051041960213,0.04845298837983565
TCGA-05-4432-01A-01D-1265-08,0.02413928475070027,0.0003417683010601724,0.8601880611975683,0.0003421021393637351,0.11498878361130757
TCGA-05-4433-01A-22D-1855-08,0.005210440032644,0.005163338075046877,0.005296735921407636,0.05740397098042673,0.9269255149904747
TCGA-05-5423-01A-01D-1625-08,0.001328582079424504,0.0013160048246480802,0.7579735007172009,0.062158085907811376,0.1772238264709152
TCGA-05-5425-01A-02D-1625-08,0.0003498524059331299,0.00035042267319494367,0.9523639599315049,0.013520820142753994,0.033414944846613
TCGA-05-5428-01A-01D-1625-08,0.0005136575511132947,0.06348397013701088,0.6823094403049167,0.25317899293204355,0.0005139390749157284
TCGA-05-5429-01A-01D-1625-08,0.005886115194134755,0.005903622233819417,0.00589537263146048,0.17582299032823356,0.8064918996123517
TCGA-05-5715-01A-01D-1625-08,0.058957701080506596,0.0016837044414691287,0.04598636139568529,0.7223324405818136,0.17103979250052553
TCGA-17-Z000-01A-01W-0746-08,0.020167536956896142,0.0016714969966347296,0.5008240523234826,0.25253186757549867,0.22480504614748775
TCGA-17-Z001-01A-01W-0746-08,0.0010099976460630307,0.0010141308013731538,0.8403532874943709,0.0010105216219790953,0.1566120624362138
TCGA-17-Z002-01A-01W-0746-08,0.02909192254173951,0.44453271126470617,0.028983176852622715,0.4672090725257614,0.030183116815170323
TCGA-17-Z003-01A-01W-0746-08,0.0008284230556405981,0.0008260724398790532,0.5598092475459573,0.05977906859579255,0.37875718836273053
TCGA-17-Z004-01A-01W-0746-08,0.009156313939290337,0.009196318746249847,0.009393604737286803,0.08049813005212232,0.8917556325250507
TCGA-17-Z005-01A-01W-0746-08,0.0022209579480952616,0.0022416229302845373,0.8141348468634362,0.0022421972585643193,0.17916037499961956
TCGA-17-Z007-01A-01W-0746-08,0.0030851645262157607,0.0030786415722184046,0.21532434232334055,0.0031122883745850418,0.7753995632036402
TCGA-17-Z010-01A-01W-0746-08,0.0007019140321953594,0.0007005061526018056,0.8391008418910498,0.10377249355680514,0.05572424436734772
TCGA-17-Z011-01A-01W-0746-08,0.06186451601202067,0.09037586037027313,0.6981913341868401,0.0018369622268104692,0.14773132720405557
TCGA-17-Z013-01A-01W-0746-08,0.0035444388298708964,0.0035687031854529905,0.7600085445852293,0.0035670782181820926,0.2293112351812648
TCGA-17-Z015-01A-01W-0746-08,0.0003982684113767061,0.0003976758436155463,0.75556169105174,0.0003994707852176028,0.24324289390805026
TCGA-17-Z016-01A-01W-0746-08,0.012699120173782177,0.0006570859241828954,0.8645943244563496,0.0006510849668404313,0.12139838447884478
TCGA-17-Z017-01A-01W-0746-08,0.0008892765706842876,0.0008906228019657289,0.9124072849075503,0.0008931778580884482,0.08491963786171122
TCGA-17-Z018-01A-01W-0746-08,0.0007787938236659294,0.0007775028440347822,0.9968801934540388,0.0007809296661275982,0.0007825802121327606
TCGA-17-Z019-01A-01W-0746-08,0.10219678524957944,0.10091071871178343,0.5931316551497123,0.10019498985520657,0.1035658510337182
TCGA-17-Z020-01A-01W-0746-08,0.0016670350188251754,0.07556539372998443,0.6330528724480914,0.19961257563637283,0.09010212316672618
TCGA-17-Z022-01A-01W-0746-08,0.010963589392367362,0.00015732055987265775,0.8285316251124898,0.13668053137967762,0.02366693355559247
TCGA-17-Z023-01A-01W-0746-08,0.0004971791147301205,0.0004972106784957309,0.7607445568563894,0.10903733520032693,0.12922371815005768
TCGA-17-Z025-01A-01W-0746-08,0.036608128944101884,0.0008078454732296852,0.8999190701410144,0.0008031399542782976,0.061861815487375696
TCGA-17-Z027-01A-01W-0746-08,0.002092607900453056,0.0021099917623666367,0.4719588004760881,0.0021074667673248197,0.5217311330937674
TCGA-17-Z028-01A-01W-0746-08,0.0004188039670869963,0.031623519164041713,0.8374168502079706,0.06885613613417119,0.06168469052672947
TCGA-17-Z030-01A-01W-0746-08,0.00036275297403479747,0.0003625960740046501,0.99855321563957,0.00036044056541836123,0.00036099474697236315
TCGA-17-Z033-01A-01W-0746-08,0.0012076546831091201,0.07184532240772643,0.7506563746875914,0.17507493225810566,0.0012157159634675222
TCGA-17-Z037-01A-01W-0746-08,0.0014569548134279477,0.04259528953414896,0.0014463799581402046,0.047545500564733105,0.9069558751295498
TCGA-17-Z041-01A-01W-0746-08,0.004110667344127241,0.004109743793839544,0.481758869286465,0.20678523685832034,0.303235482717248
TCGA-17-Z042-01A-01W-0746-08,0.0004119750240390337,0.00041258299339472465,0.9780324648254304,0.0004118059231174004,0.020731171234018377
TCGA-17-Z043-01A-01W-0746-08,0.0009548678158053179,0.000958727685643805,0.6579395709481418,0.11380913166034323,0.22633770189006586
TCGA-17-Z044-01A-01W-0746-08,0.0016368018126691776,0.0016413738037566739,0.7617321830168642,0.05400094147824917,0.1809886998884608
TCGA-17-Z045-01A-01W-0746-08,0.0002856327376823455,0.000285225560642856,0.9428528268253259,0.007771259587267712,0.04880505528908121
TCGA-17-Z047-01A-01W-0747-08,0.0085663498245387,0.00855203335010657,0.008580329752038261,0.16339626933852053,0.810905017734796
TCGA-17-Z048-01A-01W-0746-08,0.006927865433523946,0.0068439965101790585,0.006859051962116092,0.13543100150352969,0.8439380845906512
TCGA-17-Z049-01A-01W-0746-08,0.00040437027391627235,0.0004051465802289616,0.951280887016693,0.04750496353180394,0.00040463259735778903
TCGA-17-Z050-01A-01W-0747-08,0.001179606029807443,0.0011766641737079534,0.4989540323228334,0.14055212198577274,0.3581375754878784
TCGA-17-Z052-01A-01W-0747-08,0.0017187997996601595,0.001722857704410831,0.8914635877272372,0.0017258136221885547,0.1033689411465034
TCGA-17-Z055-01A-01W-0747-08,0.0003228484122415299,0.0003237105826517651,0.9376855786189713,0.00032435669489093644,0.06134350569124439
TCGA-17-Z056-01A-01W-0747-08,0.01358613546416644,0.06908808578113607,0.7765059595402871,0.14039018185059374,0.00042963736381668226
TCGA-17-Z057-01A-01W-0747-08,0.0004954774210728567,0.022201885593541474,0.37301406652121644,0.5043154200014144,0.09997315046275483
TCGA-17-Z058-01A-01W-0747-08,0.0025974378766908564,0.09330893684541178,0.6957234486229107,0.002586657253987587,0.20578351940099918
TCGA-17-Z059-01A-01W-0747-08,0.001293209644327271,0.0012882033721202842,0.7411012787917688,0.1893484746026405,0.06696883358914303
TCGA-17-Z061-01A-01W-0747-08,0.0011173817788549295,0.06221486005496645,0.6804633423173094,0.055987468988176366,0.20021694686069294
TCGA-17-Z062-01A-01W-0747-08,0.000464715195101361,0.00046557534487930087,0.9981412873896596,0.0004651658846148663,0.00046325618574477085
TCGA-35-4122-01A-01D-1105-08,0.039411679661603936,0.0006227163054864608,0.5583864770220351,0.12226831651671284,0.27931081049416157
TCGA-35-4123-01A-01D-1105-08,0.0006734703067134947,0.0006705370511079976,0.9319520757654146,0.0006756444641547985,0.06602827241260903
TCGA-35-5375-01A-01D-1625-08,0.000468285545555592,0.00046782105569775646,0.7404693627175789,0.055372190325849106,0.20322234035531858
TCGA-38-4625-01A-01D-1553-08,0.010436861268918053,0.00033728254210042445,0.8383012915175527,0.15058909469343576,0.0003354699779930408
TCGA-38-4626-01A-01D-1553-08,0.000933395873244219,0.0009336296540479002,0.9962583318963951,0.0009389899488203778,0.0009356526274923304
TCGA-38-4627-01A-01D-1553-08,0.007046129255768151,0.007140226228199993,0.10360896022823914,0.08668243929685192,0.7955222449909408
TCGA-38-4629-01A-02D-1265-08,0.0007173185401941383,0.04739865718274422,0.7109006230207205,0.07258819275473463,0.1683952085016063
TCGA-38-4630-01A-01D-1265-08,0.0016351168903648663,0.05625956202794499,0.1711955756233963,0.4728978572326579,0.298011888225636
